id,course,current_possion,review,rating,grad_year,import_units,experienced_years,polarity
,python_networking,cloud infrastacture developer,"Great class for those of us who taught ourselves, but need more. Great range of exercise difficulty.",5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,cloud infrastacture developer,"This is a simple, practical course that will teach the basics of how to access web resources with python programs.The goal is not teaching you how to write nice programs, but just enable you to write something working to pull interesting data out of existing data sources like files and web services providing text, XML and JSON data.The videos also feature some interesting background.",4,2019,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",2,1
,python_networking,database and network developer,"I think this course is a really good overview of how to use Python to retrieve web data using the two most common data interchange formats: XML and JSON. Not only that, but you also get a brief yet good introduction to what XML and JSON are, as well as the basics of network communication and regular expressions. I was hoping the assignments would be a bit more challenging, but the free textbook provides additional exercises to practice with. As always, Dr. Chuck's style helps makes this course (and his other ones) a great one.",5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,network engineer,Dr.Chuck's courses are fantastic! you can't miss it,5,2019,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",2,1
,python_networking,cloud infrastacture developer,"The course provides useful knowledge. It's fun to learn with Dr. Chuck, he is a great teacher.Thank you for all the knowledge, I will definitely use it.",5,2017,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",4,1
,python_networking,database and network developer,"Simple, Concise, kind and fun explanations on web data access.",4,2020,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",1,1
,python_networking,cloud infrastacture developer,I really like.,5,2020,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",1,1
,python_networking,network engineer,"Dr. Charles seems like the coolest teacher ever. He also explains things in an understandable, yet, amusing way.",5,2018,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",3,1
,python_networking,network engineer,I'm learning so much! Thanks,5,2016,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",5,1
,python_networking,database and network developer,csev is the best,5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,network engineer,Great teacherGreat teaching methodologyInvaluable material,5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,database and network developer,"introduce XML and json with REST, nice for starter, if you expect more, read more related books",5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,network engineer,it is easy,5,2015,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",6,1
,python_networking,database and network developer,"Great tutorials, explanations, starting code samples and assignments.",5,2020,"Expertise In Core Python, Good grasp of Web Frameworks, Object Relational Mappers, Road to Data Science, Machine Learning and AI, Deep Learning, Understanding of Multi-Process Architecture, Analytical skills, Design Skills, Communication skills",1,1
